10dacb	10-Deacetylbaccatin III
indprpcoa	Indolepropionyl-CoA
indpyr	Indolepyruvate
inds	Indoxyl sulfate
inoshp	Myo-inositol hexakisphosphate (iYO844,iSO783)
inost	myo-inositol
ins	Inosine
inulin	Chicory inulin
inv	Indinavir
inv_m1	Indanyl Glucuronide M1
iodine	Iodine
ipadsn5dp	Isopnetenyladenosine-5-diphosphate
ipadsn5tp	Isopentenyladenosine-5-triphosphate
ipdcardlip_Bsub	Isopentadecanoylcardiolipin (B. subtilis)
ipdcoa	fa3coa,Iso-C15:0 CoA   Isopentadecanoyl-CoA
ipdp	Isopentenyl diphosphate
ipntnlamp	Isopentenyl-AMP
ipptn	Isopiperitenone
ipv	isoprimeverose
iscsh	HS-[IscS protein]
iscssh	S-sulfanylcysteine-[IscS protein]
isetac	Isethionic acid
isncrdna	Isonocardicin A
isnzd	Isoniazid
isobut	Isobutyrate, 2-Methylpropanoate
isocapr	Isocaproate
isocaprcoa	Isocaproyl-CoA
isochol	Isocholate
isolvstacid	3-hydroxy-iso-delta-4,5-hydroxy acid form of lovastatin
isomal	Isomaltose,  Brachiose
isopen	Isopenicillin N
isosorbide_5mn	Isosorbide 5-Mononitrate 
isosorbide_5mn_glc	Isosorbide 5-Mononitrate 2-Beta-D-Glucuronide
isoval	Isovalerate, 3-Methylbutanoate
ispre	Isoprene
itaccoa	itaconyl-CoA(5-)
itacon	itaconate(2-)
itdcardlip_Bsub	Isotetradecanoylcardiolipin (B. subtilis)
itdcoa	fa1coa,Iso-C14:0 CoA   Isotetradecanoyl-CoA
itfln	Isotrifoliin
itp	ITP(3-)
iv_p	isovaleryl_phosphate
ivcoa	Isovaleryl-CoA
ivcrn	isovaleryl carnitine
ivitxn	Isovitexin
ivitxn2oglc	Isovitexin 2-O-beta-D-glucoside
jh3	Juvenile hormone III
jh3acd	Juvenile hormone III acid
k	potassium
kdn	2-keto-3-deoxy-D-glycero-D-galactononic acid
kdnp	2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate
kdo	3-Deoxy-D-manno-2-octulosonate
kdo2lipid4	KDO(2)-lipid IV(A)
kdo2lipid4L	KDO(2)-lipid IV(A) with laurate
kdo2lipid4p	KDO(2)-lipid IV(A) with palmitoleoyl
kdo8p	3-Deoxy-D-manno-octulosonate 8-phosphate
kdolipid4	KDO-lipid IV(A)
kdolipid4_bt	KDO-lipid IV(A)_BT
kdolipid4_HP	KDO-lipid IV(A)_HP
kdolipid4L_bt	KDO-lipid IV(A)_BT
kdr	2-keto-3-deoxy-L-rhamnonate (KDR)
kesto	Kestose (2 fru, 1 glc inulin-type fructo-oligosaccharide)
kestopt	Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)
kestottr	Kestotetraose (3 fru, 1 glc inulin-type fructo-oligosaccharide)
knmcn	Kanamycin A
knmcn3p	Kanamycin 3-phosphate
kphphhlipa	kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA
kprofen	Ketoprofen (2-(3-Benzoylphenyl)Propionic Acid)
kprofen_glc	Ketoprofen Glucuronide
ksgn	Kreysigine
ksi	keratan sulfate I
ksi_deg1	keratan sulfate I, degradation product 1
ksi_deg10	keratan sulfate I, degradation product 10
ksi_deg11	keratan sulfate I, degradation product 11
ksi_deg12	keratan sulfate I, degradation product 12
ksi_deg13	keratan sulfate I, degradation product 13
ksi_deg14	keratan sulfate I, degradation product 14
ksi_deg15	keratan sulfate I, degradation product 15
ksi_deg16	keratan sulfate I, degradation product 16
ksi_deg17	keratan sulfate I, degradation product 17
ksi_deg18	keratan sulfate I, degradation product 18
ksi_deg19	keratan sulfate I, degradation product 19
ksi_deg2	keratan sulfate I, degradation product 2
ksi_deg20	keratan sulfate I, degradation product 20
ksi_deg21	keratan sulfate I, degradation product 21
ksi_deg22	keratan sulfate I, degradation product 22
ksi_deg23	keratan sulfate I, degradation product 23
ksi_deg24	keratan sulfate I, degradation product 24
ksi_deg25	keratan sulfate I, degradation product 25
ksi_deg26	keratan sulfate I, degradation product 26
ksi_deg27	keratan sulfate I, degradation product 27
ksi_deg28	keratan sulfate I, degradation product 28
ksi_deg29	keratan sulfate I, degradation product 29
ksi_deg3	keratan sulfate I, degradation product 3
ksi_deg30	keratan sulfate I, degradation product 30
ksi_deg31	keratan sulfate I, degradation product 31
ksi_deg32	keratan sulfate I, degradation product 32
ksi_deg33	keratan sulfate I, degradation product 33
ksi_deg34	keratan sulfate I, degradation product 34
ksi_deg35	keratan sulfate I, degradation product 35
ksi_deg36	keratan sulfate I, degradation product 36
ksi_deg37	keratan sulfate I, degradation product 37
ksi_deg38	keratan sulfate I, degradation product 38
ksi_deg39	keratan sulfate I, degradation product 39
ksi_deg4	keratan sulfate I, degradation product 4
ksi_deg40	keratan sulfate I, degradation product 40
ksi_deg41	keratan sulfate I, degradation product 41
ksi_deg5	keratan sulfate I, degradation product 5
ksi_deg6	keratan sulfate I, degradation product 6
ksi_deg7	keratan sulfate I, degradation product 7
ksi_deg8	keratan sulfate I, degradation product 8
ksi_deg9	keratan sulfate I, degradation product 9
ksi_pre1	keratan sulfate I biosynthesis, precursor 1
ksi_pre10	keratan sulfate I biosynthesis, precursor 10
ksi_pre11	keratan sulfate I biosynthesis, precursor 11
ksi_pre12	keratan sulfate I biosynthesis, precursor 12
ksi_pre13	keratan sulfate I biosynthesis, precursor 13
ksi_pre14	keratan sulfate I biosynthesis, precursor 14
ksi_pre15	keratan sulfate I biosynthesis, precursor 15
ksi_pre16	keratan sulfate I biosynthesis, precursor 16
ksi_pre17	keratan sulfate I biosynthesis, precursor 17
ksi_pre18	keratan sulfate I biosynthesis, precursor 18
ksi_pre19	keratan sulfate I biosynthesis, precursor 19
ksi_pre2	keratan sulfate I biosynthesis, precursor 2
ksi_pre20	keratan sulfate I biosynthesis, precursor 20
ksi_pre21	keratan sulfate I biosynthesis, precursor 21
ksi_pre22	keratan sulfate I biosynthesis, precursor 22
ksi_pre23	keratan sulfate I biosynthesis, precursor 23
ksi_pre24	keratan sulfate I biosynthesis, precursor 24
ksi_pre25	keratan sulfate I biosynthesis, precursor 25
ksi_pre26	keratan sulfate I biosynthesis, precursor 26
ksi_pre27	keratan sulfate I biosynthesis, precursor 27
ksi_pre28	keratan sulfate I biosynthesis, precursor 28
ksi_pre29	keratan sulfate I biosynthesis, precursor 29
ksi_pre3	keratan sulfate I biosynthesis, precursor 3
ksi_pre30	keratan sulfate I biosynthesis, precursor 30
ksi_pre31	keratan sulfate I biosynthesis, precursor 31
ksi_pre32	keratan sulfate I biosynthesis, precursor 32
ksi_pre33	keratan sulfate I biosynthesis, precursor 33
ksi_pre34	keratan sulfate I biosynthesis, precursor 34
ksi_pre35	keratan sulfate I biosynthesis, precursor 35
ksi_pre36	keratan sulfate I biosynthesis, precursor 36
ksi_pre4	keratan sulfate I biosynthesis, precursor 4
ksi_pre5	keratan sulfate I biosynthesis, precursor 5
ksi_pre6	keratan sulfate I biosynthesis, precursor 6
ksi_pre7	keratan sulfate I biosynthesis, precursor 7
ksi_pre8	keratan sulfate I biosynthesis, precursor 8
ksi_pre9	keratan sulfate I biosynthesis, precursor 9
ksii_core2	keratan sulfate II (core 2-linked)
ksii_core2_deg1	keratan sulfate II (core 2-linked), degradation product 1
ksii_core2_deg2	keratan sulfate II (core 2-linked), degradation product 2
ksii_core2_deg3	keratan sulfate II (core 2-linked), degradation product 3
ksii_core2_deg4	keratan sulfate II (core 2-linked), degradation product 4
ksii_core2_deg5	keratan sulfate II (core 2-linked), degradation product 5
ksii_core2_deg6	keratan sulfate II (core 2-linked), degradation product 6
ksii_core2_deg7	keratan sulfate II (core 2-linked), degradation product 7
ksii_core2_deg8	keratan sulfate II (core 2-linked), degradation product 8
ksii_core2_deg9	keratan sulfate II (core 2-linked), degradation product 9
ksii_core2_pre1	keratan sulfate II biosynthesis, precursor 1
ksii_core2_pre10	keratan sulfate II biosynthesis, precursor 10
ksii_core2_pre2	keratan sulfate II biosynthesis, precursor 2
ksii_core2_pre3	keratan sulfate II biosynthesis, precursor 3
ksii_core2_pre4	keratan sulfate II biosynthesis, precursor 4
ksii_core2_pre5	keratan sulfate II biosynthesis, precursor 5
ksii_core2_pre6	keratan sulfate II biosynthesis, precursor 6
ksii_core2_pre7	keratan sulfate II biosynthesis, precursor 7
ksii_core2_pre8	keratan sulfate II biosynthesis, precursor 8
ksii_core2_pre9	keratan sulfate II biosynthesis, precursor 9
ksii_core4	keratan sulfate II (core 4-linked)
ksii_core4_deg1	keratan sulfate II (core 4-linked), degradation product 1
ksii_core4_deg2	keratan sulfate II (core 4-linked), degradation product 2
ksii_core4_deg3	keratan sulfate II (core 4-linked), degradation product 3
ksii_core4_deg4	keratan sulfate II (core 4-linked), degradation product 4
ksii_core4_pre1	keratan sulfate II biosynthesis, precursor 1
ksii_core4_pre10	keratan sulfate II biosynthesis, precursor 10
ksii_core4_pre2	keratan sulfate II boisynthesis, precursor 2
ksii_core4_pre3	keratan sulfate II biosynthesis, precursor 3
ksii_core4_pre4	keratan sulfate II biosynthesis, precursor 4
ksii_core4_pre5	keratan sulfate II biosynthesis, precursor 5
ksii_core4_pre6	keratan sulfate II biosynthesis, precursor 6
ksii_core4_pre7	keratan sulfate II biosynthesis, precursor 7
ksii_core4_pre8	keratan sulfate II biosynthesis, precursor 8
ksii_core4_pre9	keratan sulfate II biosynthesis, precursor 9
ksmn6p	Kanosamine 6-phosphate
ktn	Ketone
kvtn	Kievitone
kvtnh	Kievitone hydrate
kynate	kynurenate
L_dpchrm	L-dopachromate
l2a6o	L-2-Amino-6-oxopimelate
l2aadipad	L-2-Aminoadipate adenylate
L2aadp	L-2-aminoadipate(1-)
L2aadp6sa	L-allysine
l2amna	L-2-Amino acid
l2fn2m2masn	{[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-ac... <Preview truncated at 128 characters>
l2n2m2mn	de-Fuc, reducing GlcNAc removed, de-Sia form of PA6 (w/o peptide linkage)
l2xser	(Gal)2-Xyl-L-Ser (protein)
lac_D	D-lactate
lac_L	L-lactate
lac6p	Lactose 6-phosphate
laccoa	Lactoyl-CoA
lacdfucttr	Lactodifucotetraose (HMO, PMID:11425797)
lacndfuchx	Lacto-N-difucohexaose (HMO, PMID:11425797)
lacnfucpt	Lacto-N-fucopentaose (HMO, PMID:11425797)
lacnnttr	Lacto-N-neotetraose (HMO, PMID:11425797)
lacnttr	Lacto-N-tetraose (HMO, PMID:11425797)
lactl	Lactulose
LalaDglu	L-alanine-D-glutamate
LalaDgluMdap	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate
LalaDgluMdapDala	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine
LalaLglu	L-alanine-L-glutamate
lald	Lactaldehyde
lald_D	(R)-lactaldehyde
lald_L	(S)-lactaldehyde
lanost	lanosterol
Largn	L-Arogenate
lasptlhmt	L-Aspartylhydroxamate
lca24g	Lithocholic acid-24glucuronide, CDCA-24G
lca3g	Lithocholic acid-3glucuronide, CDCA-3G
lca3s	Lithocholic acid 3-sulfate
lcaldh	Long-chain aldehyde
lcdn	Licodione
lchnc	Long-chain carboxylate
lchng	Leachianone G
lcpn	Lycopene
lctnb	Lacto-N-biose
lctnbp	Lacto-N-biose phosphate
lcts	Lactose
Lcyst	L-cysteate(1-)
Lcystin	L-cystine
ldambtnt	L-2,4-Diaminobutanoate
ldl_hs	Low Density Lipoprotein
leu_L	L-leucine
leualaarg	Leucyl-Alanyl-Arginine
leuasnasp	Leucyl-Asparaginyl-Aspartate
leuasplys	Leucyl-Aspartyl-Lysine
leucyan	Leucocyanidin
leudelphdn	Leucodelphinidin
leugly	Leucylglycine
leuktrA4	leukotriene A4(1-)
leuktrB4	leukotriene B4(1-)
leuktrB4wcooh	w-carboxy leukotriene B4
leuktrB4woh	w-hydroxyl leukotriene B4
leuktrC4	leukotriene C4(2-)
leuktrD4	Leukotriene D4
leuktrE4	leukotriene E4(1-)
leuktrF4	leukotriene F4
leuleu	Leucylleucine
leuleutrp	Leucyl-Leucyl-Tryptophan
leupro	Leucyl-Proline
leuproarg	Leucyl-Prolyl-Arginine
leusertrp	Leucyl-Seryl-Tryptophan
leutrna	L-Leucyl-tRNA(Leu)
leutrp	Leucyl-Tryptophan
leutrparg	Leucyl-Tryptophanyl-Arginine
leutyrtyr	Leucyl-Tyrosyl-Tyrosine
leuval	Leucyl-Valine
levan1000	Levan, 1000 fructose units
levanb	Levanbiose
levanpt	Levanpentaose
levanttr	Levantriose
levantttr	Levantetraose
Lfmkynr	N-formyl-L-kynurenine
lgal	L-Galactose
lgnc	lignocerate
lgnccoa	lignocericyl coenzyme A
lgnccrn	lignoceryl carnitine
lgt_S	(R)-S-lactoylglutathionate(1-)
Lhcystin	L-Homocystine
lichn	Lichenin from Icelandic moss
limnen	limonene
lineth	Linoleoyl Ethanolamide
lipa	KDO(2)-lipid (A)
lipa_cold	cold adapted KDO(2)-lipid (A)
lipidA	2,3,23-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4-bisphosphate
lipidA_bt	lipidA_BT
lipidA_HP	lipidA_HP
lipidAds	Lipid A Disaccharide
lipidAds_bt	lipidAds_BT
lipidX	2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate
lipidX_bt	lipidX_BT
lipidX_HP	lipidX_HP
lipoate	lipoate
lipp	Lipoprotein
Lkynr	L-kynurenine
lmaatrna	L-Methionylaminoacyl-tRNA
lmn	(+)-Limonene
lmn2	Laminaribiose
lmn30	laminarin (n=30 repeat units, beta -1,3 glc)
lmnd	Limonene-1,2-diol
lmno	Limonene oxide
ln2cearg	L-N2-(2-Carboxyethyl)arginine
lneldc	linoelaidic acid (all trans C18:2)
lneldcACP	linoelaidic acid ACP (all trans)
lneldccoa	linoelaidyl coenzyme A
lneldccrn	Linoelaidyl carnitine
lnlc	linoleate
lnlcACP	linoleic acid ACP (all cis)
lnlccoa	linoleic coenzyme A
lnlccrn	Linoleyl carnitine
lnlnca	alpha-linolenate
lnlncacoa	alpha-Linolenoyl-CoA
lnlncacrn	alpha-linolenyl carnitine
lnlncg	gamma-linolenate
lnlncgcoa	gamma-linolenoyl-CoA(4-)
lnlncgcrn	gamma-linolenyl carnitine
lpam	lipoamide
lpchol_hs	lysophosphatidylcholine
Lpipecol	L-pipecolic acid
lpp	lipoprotein
lpp_sp	Braun lipoprotein signal peptide
lpro	Lipoylprotein
lps_bt	Lipopolysacharide BT
lps_HP	Lipopolysacharide Hp specific
lst4exp	Losartan-E3174/ losartan-M6
lstn	Losartan
lstn1gluc	Losartan-N1-glucuronide
lstnm1	Losartan-M1
lstnm2	Losartan-M2
lstnm4	Losartan-M4 (glucuronide derivative)
lstnm5	Losartan-M5
lstnm7	Losartan-N2-glucuronide / Losartan-M7
lt6p	L-Tagatose 6-phosphate
LTA_LLA	Lipoteichoic_acid__n16__Lactis_specific_
LTA_LPL	lipoteichoic_acid__n25__LPL_specific_
LTAala_LLA	Lipoteichoic_acid__n16__with_038_ala_substitutions_
LTAala_LPL	Lipoteichoic_acid__n25__with_100_D_Ala_substitutions__LPL_specific_
LTAAlaGal_LLA	Lipoteichoic_acid__n16__with_0_38_ala_and_062_gal_
LTAglc_LPL	Lipoteichoic_acid__n25_with_glucose_residues__LPL_specific_
lthstrl	5alpha-cholest-7-en-3beta-ol
ltlnbddg	Luteolin 7-O-beta-D-diglucuronide
lum3	Lumisterol 3
lupnt	Lupinate
lutfol	Luteoforol
lvst	lovastatin lactone form
lvstacid	lovastatin-hydroxyacid form
lxser	Gal-Xyl-L-Ser (protein)
lypn	Lysopine
lys_D	D-lysine
lys_L	L-lysine
lysargleu	Lysyl-Arginyl-Leucine
lyscyshis	Lysyl-Cysteinyl-Histidine
lysglnphe	Lysyl-Glutaminyl-Phenylalanine
lysgluglu	Lysyl-Glutamyl-Glutamate
lyslctm	L-Lysine 1,6-lactam
lyslyslys	Lysyl-Lysyl-Lysine
lyspg_LLA	1_lysyl_phosphatidyl_glycerol__lactis_specific_
lyspg_LPL	1_lysyl_phosphatidyl_glycerol__LPL_specific_
lyspheile	Lysyl-Phenylalanyl-Isoleucine
lystrna	L-Lysine-tRNA (Lys)
lystrparg	Lysyl-Tryptophanyl-Arginine
lystyrile	Lysyl-Tyrosyl-Isoleucine
lysvalphe	Lysyl-Valyl-Phenylalanine
lysvaltrp	Lysyl-Valyl-Tryptophan
lyx_L	L-Lyxose
lyxnt	L-lyxonate
m	m
m_em_3gacpail	mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol (M4A)
m_em_3gacpail_hs	mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol (M4A))
m_em_3gacpail_prot_hs	mannosyl-3-(phosphoethanolaminyl-mannosyl)-glucosaminyl-acylphosphatidylinositol-Protein (M4A)
m(em)3gacpail_hs	10fthf5glu[c]
M00003	10Z-Heptadecenoic acid
M00004	10Z-Heptadecenoyl Coenzyme A
M00005	(5Z,8Z,12E,14Z)-(11R)-Hydroperoxyeicosa-5,8,12,14-Tetraenoic Acid (11(R)-HPETE)
M00006	11Z-Docosenoyl Coenzyme A
M00008	Eicosadienoic acid
M00010	11,14,17-Eicosatrienoic acid
M00011	11Z,14Z,17Z-Eicosatrienoylcarnitine
M00012	11Z,14Z,17Z-Eicosatrienoyl Coenzyme A
M00017	Paullinic acid
M00018	13Z-Eicosenoyl Coenzyme A
M00019	(Z)-13-Octadecenoic acid
M00020	13Z-Octadecenoyl Coenzyme A
M00021	13Z,16Z-docosadienoic acid
M00022	13Z,16Z-Docosadienoylcarnitine
M00023	13Z,16Z-Docosadienoyl Coenzyme A
M00025	8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate
M00026	9(S),13(S)-12-Oxo-PDA
M00027	2-Acyl-sn-glycero-3-phosphoethanolamine
M00028	1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol
M00029	1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol
M00030	(1Aalpha,2Beta,3Alpha,11Calpha)-1A,2,3,11C-Tetrahydro-6,11-Dimethylbenzo[6,7]Phenanthro[3,4-B]Oxirene-2,3-Diol
M00031	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
M00033	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
M00034	(1S,2R)-Naphthalene 1,2-Oxide
M00037	4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 6-sulfate
M00038	4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine
M00039	11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al
M00040	5alpha-Ergosta-7,22-diene-3beta,5-diol
M00041	20-Hydroxy-3-oxopregn-4-en-21-al
M00042	5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside
M00043	Elongation factor 2 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine
M00044	(2E)-Heneicosenoyl Coenzyme A
M00045	(2E)-Heptadecenoyl-ACP
M00046	(2E)-Heptadecenoyl Coenzyme A
M00047	(2E)-Heptenoyl-ACP
M00048	(2E)-Heptenoyl Coenzyme A
M00049	(2E)-Hexacosenoyl Coenzyme A
M00050	beta-D-Galactosyl-1,4-N-acetyl-beta-D-glucosaminylglycopeptide
M00051	Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]
M00052	(3S,4R)-3,4-Dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate
M00053	2-Hydroxy-6-oxo-6-(4-chlorophenyl)-hexa-2,4-dienoate
M00054	(2E)-Nonadecenoyl Coenzyme A
M00055	(2E)-Nonenoyl-ACP
M00056	(2E)-Nonenoyl Coenzyme A
M00057	[Glu(-Cys)]n+1-Gly
M00058	Apo-[methylmalonyl-CoA-carboxyltransferase]
M00059	alpha-N-Acetylneuraminyl-2,8-alpha-N-acetylneuraminyl-2,3-beta-D- galactosyl-R
M00060	(2E)-Pentadecenoyl-ACP
M00061	(2E)-Pentadecenoyl-CoA
M00062	(2E)-Pentenoyl-ACP
M00063	(2E)-Pentenoyl-CoA
M00064	N-Acetyl-D-galactosaminyl-1,4-beta-N-acetylneuraminyl-2,3-alpha-D- galactosyl-1,4-beta-D-glucosylceramide
M00065	alpha-D-Glucosyl-1,6-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,3-1-O- alkyl-2-O-acylglycerol
M00066	6-Sulfo-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,6-alpha-D-glucosyl- 1,3-1-O-alkyl-2-O-acylglycerol
M00067	(2E)-Tricosenoyl-CoA
M00068	(2E)-Tridecenoyl-ACP
M00069	(2E)-Tridecenoyl Coenzyme A
M00070	(2E)-Undecenoyl-ACP
M00071	(2E)-Undecenoyl Coenzyme A
M00072	1,2-Diacyl-3-O-(alpha-D-glucopyranosyl)-sn-glycerol
M00073	1,2-Diacyl-3-O-(alpha-D-glucopyranosyl(1->2)-O-alpha-D- glucopyranosyl)sn-glycerol
M00074	6-Oxo-2-hydroxy-7-(4-chlorophenyl)-3,8,8-trichloroocta-2E,4E,7E- trienoate
M00075	alpha-N-Acetyl-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->3)- beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D- xylos... <Preview truncated at 128 characters>
M00076	(9Z,11E,14Z)-(13S)-13-Hydroperoxyoctadeca-9,11,14-trienoic acid
M00077	(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid
M00078	(10E,12Z,15Z)-(9S)-9-Hydroperoxyoctadeca-10,12,15-trienoic acid
M00079	Pelargonidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)
M00080	Cyanidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)
M00081	Delphinidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)
M00082	Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4-O-beta-D- glucuronide
M00083	dTDP 1-ester with 2,6-dideoxy-L-erythro-hexopyranos-3-ulose
M00085	(3S)-Hydroxy-Docasa-Cis,Cis-13,16-Dienoyl Coenzyme A
M00086	(3S)-Hydroxy-Eicosa-Cis,Cis,Cis-11,14,17-Trienoyl Coenzyme A
M00096	(5)Pppur-Mrna
M00100	5Z,8Z,11Z-Eicosatrienoylcarnitine
M00101	5Z,8Z,11Z-Eicosatrienoyl Coenzyme A
M00112	6Z,9Z,12Z,15Z,18Z,21Z-Tetracosahexaenoylcarnitine
M00115	7Z-octadecenoic acid
M00116	7Z-Octadecenoyl Coenzyme A
M00117	7Z-tetradecenoic acid
M00122	8Z,11Z-Eicosadienoylcarnitine
M00123	8Z,11Z-Eicosadienoyl Coenzyme A
M00127	Elaidic acid
M00129	9E-Tetradecenoyl Coenzyme A
M00136	(Adenosine-5-Diphosphate-D-Ribosyl)N+1-Acceptor
M00137	(Adenosine-5-Diphosphate-D-Ribosyl)N-Acceptor
M00155	(Indol-3-Yl)Acetamide
M00170	(S)-3-Hydroxy-11-Cis-Octadecenoyl Coenzyme A
M00172	(S)-3-Hydroxy-7-Hexadecenoyl Coenzyme A
M00187	Beta-Adrenergic-Receptor
M00188	Methionine Synthase-Cob(Ii)Alamin
M00189	Methionine Synthase-Methylcob(I)Alamin
M00190	Myosin-Light-Chain
M00191	Myosin-Light-Chain-Phosphate
M00192	Phosphorylase-A
M00193	Phosphorylase-B
M00194	Protein C-Terminal S-Farnesyl-L-Cysteine
M00195	Protein C-Terminal S-Farnesyl-L-Cysteine Methyl Ester
M00196	Protein
M00197	Protein-L-Arginine
M00199	Protein L-Citrulline
M00200	Protein-L-Cysteine
M00201	Protein-Glutamine
M00202	Protein-L-Isoaspartate
M00203	Protein-L-Isoaspartate-Methyl-Ester
M00206	Protein-Tyrosine
M00207	Protein-N5-Alkylglutamine
M00208	Protein N6-(Dihydrolipoyl)Lysine
M00209	Protein N6-(Lipoyl)Lysine
M00210	Protein N6-(Octanoyl)Lysine
M00213	Protein N6-Methyl-L-Lysine
M00214	Protein-N-Ubiquityllysine
M00215	Protein-Omega-N-(Adenosine-5-Diphosphate-D-Ribosyl)-L-Arginine
M00216	Protein-S-Methyl-L-Cysteine
M00217	Protein-Tyrosine-O-Sulfate
M00218	Protein Tyrosine Phosphate
M00219	[Pyruvate Dehydrogenase (Acetyl-Transferring)]
M00220	Hydrogen phosphate
M00222	1-(1-Alkenyl)-Sn-Glycero-3-Phosphate
M00223	1-(1-Alkenyl)-Sn-Glycero-3-Phosphoethanolamine
M00224	1-(1-Alkenyl)-Sn-Glycerol
M00225	1-(3-Pyridinyl)-1,4-Butanediol
M00226	1-(Methylnitrosoamino)-4-(3-Pyridinyl)-1,4-Butanediol
M00227	1,1-Dichloroethylene Epoxide
M00228	1,1-Dichloroethylene
M00229	1,2,3,4-Tetrahydro-Alpha,7-Dihydroxy-Beta-(Hydroxymethyl)-9-Methoxy-3,4-Dioxocyclopenta[C][1]Benzopyran-6-Propanal
M00232	1,2-D-Glucosyl-5-D-(Galactosyloxy)-L-Lysine-Procollagen
M00234	1,2-Diacylglycerol-Chylomicron-Pool
M00241	1,2-Diacylglycerol-VLDL-Pool
M00242	1,2-Dibromoethane
M00243	1,2-Dihydronaphthalene-1,2-Diol
M00244	1,2-Dihydroxy-3,4-Epoxy-1,2,3,4-Tetrahydronaphthalene
M00245	1,2-Dihydroxy-5-(Methylthio)Pent-1-En-3-One
M00246	1,2-Naphthoquinone
M00250	1,4-Dihydroxynaphthalene
M00251	1,4-Naphthoquinone
M00260	10Z,13Z,16Z,19Z-Docosatetraenoic Acid
M00261	10Z,13Z,16Z,19Z-Docosatetraenoylcarnitine
M00263	10Z,13Z,16Z-Docosatrienoylcarnitine
M00265	10Z,13Z,16Z-Docosatriynoic Acid
M00276	11,12,15-Trihydroxyeicosatrienoic Acid
M00277	11,12-Dihydroxy-5Z,8Z,14Z-Eicosatrienoic Acid
M00280	11,14,15-Trihydroxy-5Z,8Z,12E-Eicosatrienoic Acid
M00283	11Beta,17Alpha,21-Trihydroxypregnenolone
M00285	11Beta-Hydroxyprogesterone
M00292	11-Cis-Retinyl-Palmitate
M00296	11-Hydroxy-14,15-Epoxy-5Z,8Z,12E-Eicosatrienoic Acid
M00297	11-HETE
M00304	11-Trans-Leukotriene E4
M00310	12(13)-Epoxy-6Z,9Z-Octadecadienoic Acid
M00315	12Z,15Z,18Z,21Z-Tetracosatetraenoic Acid
M00316	12Z,15Z,18Z,21Z-Tetracosatetraenoylcarnitine
M00320	5S,12S-Dihydroxy-6Z,8E,10E,14Z-Eicosatetraenoic Acid
M00321	12R-Hydroxy-5Z,8Z,12Z-Eicosatrienoic Acid
M00334	12-KETE
M00336	13S-hydroxyoctadecadienoic acid
M00338	11,15-Dioxo-9S-Hydroxy-5Z-Prostenoic Acid
M00341	Docosatrienoic acid
M00342	13Z,16Z,19Z-Docosatrienoylcarnitine
M00343	13Z,16Z,19Z-Docosatrienoyl Coenzyme A
M00364	14,15-Dihydroxy-5Z,8Z,11Z-Eicosatrienoic Acid
M00377	15S-Hydroxy-5Z,8Z,11Z,13E-Eicosatetraenoic Acid
M00381	9S-Hydroxy-11,15-Dioxo-5Z,13E-Prostadienoic Acid
M00382	9S-Hydroxy-11-Oxo-5Z,12E,14E-Prostatrienoic Acid
